,title,date,article_id,url,main_topic,all_topics,authors,year
39,HANF: Hyperparameter And Neural Architecture Search in Federated Learning,2022-06-24 15:27:58+00:00,39,http://arxiv.org/pdf/2206.12342v1,cs.LG,['cs.LG'],"[arxiv.Result.Author('Jonas Seng'), arxiv.Result.Author('Pooja Prasad'), arxiv.Result.Author('Devendra Singh Dhami'), arxiv.Result.Author('Kristian Kersting')]",2022
40,"STREAMLINE: A Simple, Transparent, End-To-End Automated Machine Learning Pipeline Facilitating Data Analysis and Algorithm Comparison",2022-06-23 22:40:58+00:00,40,http://arxiv.org/pdf/2206.12002v1,cs.LG,"['cs.LG', 'cs.DC', 'cs.DS', 'q-bio.GN', 'I.2.0; I.5.0; I.6.5; J.3; K.3.2']","[arxiv.Result.Author('Ryan J. Urbanowicz'), arxiv.Result.Author('Robert Zhang'), arxiv.Result.Author('Yuhan Cui'), arxiv.Result.Author('Pranshu Suri')]",2022
41,Efficient End-to-End AutoML via Scalable Search Space Decomposition,2022-06-19 14:53:29+00:00,41,http://arxiv.org/pdf/2206.09423v2,cs.LG,['cs.LG'],"[arxiv.Result.Author('Yang Li'), arxiv.Result.Author('Yu Shen'), arxiv.Result.Author('Wentao Zhang'), arxiv.Result.Author('Ce Zhang'), arxiv.Result.Author('Bin Cui')]",2022
42,AutoML Two-Sample Test,2022-06-17 15:41:07+00:00,42,http://arxiv.org/pdf/2206.08843v2,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Author('Jonas M. Kübler'), arxiv.Result.Author('Vincent Stimper'), arxiv.Result.Author('Simon Buchholz'), arxiv.Result.Author('Krikamol Muandet'), arxiv.Result.Author('Bernhard Schölkopf')]",2022
43,Zero-Shot AutoML with Pretrained Models,2022-06-16 22:52:08+00:00,43,http://arxiv.org/pdf/2206.08476v2,cs.LG,"['cs.LG', 'cs.AI', 'cs.CV']","[arxiv.Result.Author('Ekrem Öztürk'), arxiv.Result.Author('Fabio Ferreira'), arxiv.Result.Author('Hadi S. Jomaa'), arxiv.Result.Author('Lars Schmidt-Thieme'), arxiv.Result.Author('Josif Grabocka'), arxiv.Result.Author('Frank Hutter')]",2022
44,A Review on Plastic Artificial Neural Networks: Exploring the Intersection between Neural Architecture Search and Continual Learning,2022-06-11 22:26:53+00:00,44,http://arxiv.org/pdf/2206.05625v1,cs.AI,"['cs.AI', 'cs.CV', 'cs.NE', '68T07', 'I.2.2; D.1.2; I.2.6']","[arxiv.Result.Author('Mohamed Shahawy'), arxiv.Result.Author('Elhadj Benkhelifa'), arxiv.Result.Author('David White')]",2022
45,AutoML-Based Drought Forecast with Meteorological Variables,2022-06-09 23:56:40+00:00,45,http://arxiv.org/pdf/2207.07012v2,cs.LG,"['cs.LG', 'physics.ao-ph']","[arxiv.Result.Author('Shiheng Duan'), arxiv.Result.Author('Xiurui Zhang')]",2022
46,DeepCAVE: An Interactive Analysis Tool for Automated Machine Learning,2022-06-07 12:59:39+00:00,46,http://arxiv.org/pdf/2206.03493v2,cs.LG,['cs.LG'],"[arxiv.Result.Author('René Sass'), arxiv.Result.Author('Eddie Bergman'), arxiv.Result.Author('André Biedenkapp'), arxiv.Result.Author('Frank Hutter'), arxiv.Result.Author('Marius Lindauer')]",2022
47,SubStrat: A Subset-Based Strategy for Faster AutoML,2022-06-07 07:44:06+00:00,47,http://arxiv.org/pdf/2206.03070v1,cs.LG,"['cs.LG', 'cs.DB', 'cs.NE']","[arxiv.Result.Author('Teddy Lazebnik'), arxiv.Result.Author('Amit Somech'), arxiv.Result.Author('Abraham Itzhak Weinberg')]",2022
48,Concurrent Neural Tree and Data Preprocessing AutoML for Image Classification,2022-05-25 20:03:09+00:00,48,http://arxiv.org/pdf/2205.13033v1,cs.LG,"['cs.LG', 'cs.NE']","[arxiv.Result.Author('Anish Thite'), arxiv.Result.Author('Mohan Dodda'), arxiv.Result.Author('Pulak Agarwal'), arxiv.Result.Author('Jason Zutty')]",2022
